City,State,Median Income,Percent with Bachelors or Higher,Population,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Pinesdale town,Montana,12657,5.82010582010582,1011,,,,
Three Forks city,Montana,31906,20.5047318611987,2055,,,,
Hardin city,Montana,19202,24.6161466072313,3788,,,,
Columbus town,Montana,27916,26.1710037174721,2079,,,,
Choteau city,Montana,26086,23.4214390602055,1710,,,,
Custer CDP,Montana,30473,14.8936170212765,,,,,
Kalispell city,Montana,26865,30.0198045103175,24565,,,,
Martin City CDP,Montana,19443,19.8170731707317,,,,,
Medicine Lake town,Montana,31867,35.5555555555555,223,,,,
Outlook town,Montana,27043,25,47,,,,
Plentywood city,Montana,38862,21.1985018726591,1732,,,,
Pray CDP,Montana,36797,24.1379310344827,,,,,
Rader Creek CDP,Montana,49861,27.8884462151394,,,,,
Roberts CDP,Montana,29970,36.405529953917,,,,,
Rocky Boy West CDP,Montana,10206,7.88288288288288,,,,,
Roscoe CDP,Montana,31014,10.204081632653,,,,,
Rosebud CDP,Montana,34410,37.5,,,,,
Roy CDP,Montana,17400,11.2244897959183,,,,,
Sand Coulee CDP,Montana,28295,35.7954545454545,,,,,
Santa Rita CDP,Montana,9324,10.4761904761904,,,,,
Sedan CDP,Montana,42696,25.9740259740259,,,,,
Shawmut CDP,Montana,20267,15.6862745098039,,,,,
Silesia CDP,Montana,49648,23.8095238095238,,,,,
Silver Gate CDP,Montana,61759,52,,,,,
Trout Creek CDP,Montana,19671,18.9873417721519,,,,,
South Hills CDP,Montana,42362,76.3020833333333,,,,,
Spokane Creek CDP,Montana,44244,31.3782991202346,,,,,
Springdale CDP,Montana,25611,0,,,,,
Springhill CDP,Montana,53929,41.4893617021276,,,,,
Stockett CDP,Montana,19641,15.7024793388429,,,,,
Stryker CDP,Montana,14363,0,,,,,
Sula CDP,Montana,34497,22.7848101265822,,,,,
Swan Lake CDP,Montana,34424,21.0884353741496,,,,,
Sweet Grass CDP,Montana,31984,46.6666666666666,,,,,
Sylvanite CDP,Montana,30926,33.3333333333333,,,,,
The Silos CDP,Montana,28376,44.6991404011461,,,,,
Trego CDP,Montana,24532,26.0692464358452,,,,,
Turah CDP,Montana,39791,45.1612903225806,,,,,
Turner CDP,Montana,36381,25,,,,,
Weeksville CDP,Montana,32414,0,,,,,
West Glacier CDP,Montana,30679,53.9823008849557,,,,,
West Kootenai CDP,Montana,23638,25.8620689655172,,,,,
Wheatland CDP,Montana,37186,28.8607594936708,,,,,
White Haven CDP,Montana,25289,12.9032258064516,,,,,
Whitewater CDP,Montana,17975,37.7049180327868,,,,,
Boonton town,New,Jersey,43189,46.385846672283,8919,,,
Stanhope borough,New,Jersey,42023,44.164172723386,3306,,,
Glen Ridge borough,New,Jersey,88372,78.7627153830184,7574,,,
Beverly city,New,Jersey,34268,18.9812007277137,2479,,,
Burlington city,New,Jersey,33877,22.219028456453,9858,,,
Allenwood CDP,New,Jersey,46732,60.3478260869565,,,,
Clinton town,New,Jersey,53667,55.1742919389978,2687,,,
Flemington borough,New,Jersey,31817,31.4486450317832,4577,,,
Somerset CDP,New,Jersey,42734,53.6289408029031,,,,
Sayreville borough,New,Jersey,37476,34.4160768452982,44173,,,
Port Reading CDP,New,Jersey,34999,25.3239540910773,,,,
Heathcote CDP,New,Jersey,61140,72.6407109606432,,,,
Laurence Harbor CDP,New,Jersey,36986,28.9735449735449,,,,
Princeton Meadows CDP,New,Jersey,49912,78.6351060559483,,,,
Fair Lawn borough,New,Jersey,52230,56.5439093484419,32896,,,
Fort Lee borough,New,Jersey,52918,59.5899942300512,38605,,,
Franklin Lakes borough,New,Jersey,88963,69.0913764297648,11119,,,
Avenel CDP,New,Jersey,24166,24.7978047371461,,,,
Corbin City city,New,Jersey,33432,31.9371727748691,491,,,
Rockleigh borough,New,Jersey,60045,38.7163561076604,529,,,
Secaucus town,New,Jersey,49770,49.8689780286232,21893,,,
Colonia CDP,New,Jersey,44121,40.6142562457024,,,,
South Plainfield borough,New,Jersey,37414,34.8768878180642,24052,,,
Annandale CDP,New,Jersey,41779,58.0901856763925,,,,
Bloomsbury borough,New,Jersey,39872,41.3926499032882,839,,,
Stockton borough,New,Jersey,50324,47.4137931034482,512,,,
Raritan borough,New,Jersey,40947,36.1617620509117,7765,,,
Somerville borough,New,Jersey,37150,43.1714354412118,12063,,,
Avon-by-the-Sea borough,New,Jersey,78070,63.8429752066115,1783,,,
Englishtown borough,New,Jersey,38289,28.6304198210598,1912,,,
Highlands borough,New,Jersey,55119,32.8531000771803,4714,,,
Keansburg borough,New,Jersey,28376,17.3768414383019,9632,,,
Long Branch city,New,Jersey,33238,28.3614147296071,30241,,,
Oakhurst CDP,New,Jersey,49009,43.9234075810863,,,,
Roosevelt borough,New,Jersey,42869,50.5823627287853,836,,,
Tinton Falls borough,New,Jersey,55126,51.9994020479856,17451,,,
Andover borough,New,Jersey,34908,31.4634146341463,563,,,
Mountainside borough,New,Jersey,57582,53.8399024786672,6885,,,
Ramsey borough,New,Jersey,70321,69.1496565734739,14884,,,
Cape May Court House CDP,New,Jersey,37938,34.3168527379053,,,,
Hightstown borough,New,Jersey,37761,41.0480349344978,5304,,,
Princeton Junction CDP,New,Jersey,104835,85.2764094143404,,,,
Twin Rivers CDP,New,Jersey,34131,41.9190802564669,,,,
Clifton city,New,Jersey,33601,32.6504995732289,85052,,,
Hawthorne borough,New,Jersey,45712,37.3099585364079,18753,,,
North Haledon borough,New,Jersey,51336,38.3622676294361,8395,,,
Passaic city,New,Jersey,18485,15.6732397171596,69703,,,
Barnegat Light borough,New,Jersey,57647,52.906976744186,587,,,
Cedar Glen Lakes CDP,New,Jersey,30366,19.4964493221433,,,,
Dover Beaches North CDP,New,Jersey,55975,47.084917617237,,,,
White Horse CDP,New,Jersey,40095,27.8502909262462,,,,
Anderson CDP,New,Jersey,26252,43.1192660550458,,,,
Asbury CDP,New,Jersey,64744,32.9729729729729,,,,
Barclay CDP,New,Jersey,62023,71.0534952412208,,,,
Beattystown CDP,New,Jersey,35608,36.5396627108057,,,,
El Rito CDP,New,Mexico,24962,35.4933726067746,,,,
Ensenada CDP,New,Mexico,,0,,,,
Escondida CDP,New,Mexico,,0,,,,
Escudilla Bonita CDP,New,Mexico,31310,29.1666666666666,,,,
Fairacres CDP,New,Mexico,36375,16.6666666666666,,,,
Faywood CDP,New,Mexico,10509,15.2173913043478,,,,
Fence Lake CDP,New,Mexico,12569,0,,,,
Gila CDP,New,Mexico,44185,28.021978021978,,,,
Glen Acres CDP,New,Mexico,36022,14.569536423841,,,,
Garfield CDP,New,Mexico,-666666666,,,,,
Glenwood CDP,New,Mexico,47247,0,,,,
Golden CDP,New,Mexico,-666666666,,,,,
Hachita CDP,New,Mexico,,65.7894736842105,,,,
Hanover CDP,New,Mexico,15938,18.978102189781,,,,
Happy Valley CDP,New,Mexico,22368,4.37375745526838,,,,
Hernandez CDP,New,Mexico,29300,13.3874239350912,,,,
High Rolls CDP,New,Mexico,21387,41.8367346938775,,,,
Hillsboro CDP,New,Mexico,23528,33.3333333333333,,,,
Homestead CDP,New,Mexico,,0,,,,
Hot Springs Landing CDP,New,Mexico,-666666666,,,,,
Highland Meadows CDP,New,Mexico,17828,18.2572614107883,,,,
Indian Hills CDP,New,Mexico,25555,11.6788321167883,,,,
Jacona CDP,New,Mexico,34284,28.3276450511945,,,,
Keeler Farm CDP,New,Mexico,16510,7.22543352601156,,,,
Kingston CDP,New,Mexico,,0,,,,
La Cueva CDP,New,Mexico,56509,35.7664233576642,,,,
La Hacienda CDP,New,Mexico,18172,11.8497109826589,,,,
La Huerta CDP,New,Mexico,46252,16.7910447761194,,,,
La Joya CDP,New,Mexico,,0,,,,
Lake Roberts CDP,New,Mexico,,100,,,,
Lake Roberts Heights CDP,New,Mexico,25352,56,,,,
Lake Valley CDP,New,Mexico,20264,44.3181818181818,,,,
La Madera CDP,New,Mexico,,0,,,,
La Mesa CDP,New,Mexico,12743,5.90631364562118,,,,
Chamita CDP,New,Mexico,23699,6.85975609756097,,,,
Chamizal CDP,New,Mexico,,89.4736842105263,,,,
Chical CDP,New,Mexico,12135,10.2564102564102,,,,
Chili CDP,New,Mexico,21843,16.9847328244274,,,,
El Duende CDP,New,Mexico,9046,0.571428571428571,,,,
City of the Sun CDP,New,Mexico,,0,,,,
Cliff CDP,New,Mexico,17787,9.48275862068965,,,,
Cobre CDP,New,Mexico,,100,,,,
Cochiti Lake CDP,New,Mexico,36925,51.8518518518518,,,,
Conchas Dam CDP,New,Mexico,,0,,,,
Cordova CDP,New,Mexico,30842,9.89247311827957,,,,
Costilla CDP,New,Mexico,,0,,,,
Cotton City CDP,New,Mexico,17668,5.95744680851063,,,,
Coyote CDP,New,Mexico,35440,0,,,,
Cruzville CDP,New,Mexico,39774,0,,,,
Ruidoso Downs city,New,Mexico,17049,6.70632774472687,2574,,,
Placitas CDP (Do̱a Ana County),New,Mexico,8951,0,,,,
Ca̱ada de los Alamos CDP,New,Mexico,30062,18.7265917602996,,,,
Ca̱on CDP,New,Mexico,19481,38.095238095238,,,,
Ca̱ones CDP,New,Mexico,26961,0,,,,
Do̱a Ana CDP,New,Mexico,13626,1.78571428571428,,,,
Espa̱ola city,New,Mexico,21349,15.4307352477122,10044,,,
Rutherford College town,North,Carolina,24135,20.4795204795204,1304,,,
Bogue town,North,Carolina,33700,17.4537987679671,703,,,
Emerald Isle town,North,Carolina,53089,48.4974424552429,3695,,,
Edenton town,North,Carolina,25607,22.454832234012,4614,,,
Casar town,North,Carolina,23646,12.9213483146067,293,,,
Kingstown town,North,Carolina,30829,6.4516129032258,677,,,
Mooresboro town,North,Carolina,17061,13.9705882352941,312,,,
East Flat Rock CDP,North,Carolina,20666,13.2972972972972,,,,
Spivey's Corner CDP,North,Carolina,29726,20.136518771331,,,,
Stokes CDP,North,Carolina,32224,20.1550387596899,,,,
Sunbury CDP,North,Carolina,24285,26.3565891472868,,,,
Swan Quarter CDP,North,Carolina,20861,0,,,,
Tyro CDP,North,Carolina,22815,15.9574468085106,,,,
Valle Crucis CDP,North,Carolina,23664,49.2753623188405,,,,
Wakulla CDP,North,Carolina,17280,17.7083333333333,,,,
Waves CDP,North,Carolina,74436,23.2142857142857,,,,
Robbins town,North,Carolina,21285,5.97014925373134,1221,,,
Saratoga town,North,Carolina,22505,10.1538461538461,404,,,
Ayden town,North,Carolina,21905,16.3529411764705,5141,,,
Falkland town,North,Carolina,11231,4,98,,,
Archdale city,North,Carolina,27170,19.0112193317716,11513,,,
Liberty town,North,Carolina,20429,12.6821370750134,2658,,,
Cricket CDP,North,Carolina,20359,11.8440779610194,,,,
Mulberry CDP,North,Carolina,23078,17.0169491525423,,,,
North Wilkesboro town,North,Carolina,27817,17.4861608596548,4200,,,
Half Moon CDP,North,Carolina,22887,20.0775945683802,,,,
Holly Ridge town,North,Carolina,33598,43.5314685314685,2827,,,
East Rockingham CDP,North,Carolina,15619,5.29206190713929,,,,
Hoffman town,North,Carolina,18181,6.01851851851851,572,,,
Greensboro city,North,Carolina,29628,38.2029365495542,296710,,,
Summerfield town,North,Carolina,50319,56.0777957860615,11376,,,
Whitsett town,North,Carolina,27291,23.3502538071066,639,,,
Bethania town,North,Carolina,44792,20.7482993197278,364,,,
Walkertown town,North,Carolina,23634,24.0725007080147,5242,,,
Enfield town,North,Carolina,12713,6.99815837937384,2274,,,
Halifax town,North,Carolina,20179,30.5263157894736,204,,,
Scotland Neck town,North,Carolina,21232,13.1407269338303,1840,,,
Littleton town,North,Carolina,18991,20.2150537634408,588,,,
Clayton town,North,Carolina,30212,31.1830231246474,24887,,,
Princeton town,North,Carolina,21897,15.1432469304229,1398,,,
Selma town,North,Carolina,14461,12.0667522464698,7101,,,
Beech Mountain town,North,Carolina,47848,49.1743119266055,324,,,
Ronda town,North,Carolina,13710,8.08383233532934,411,,,
Wilkesboro town,North,Carolina,22386,25.2931323283082,3453,,,
Sneads Ferry CDP,North,Carolina,24412,21.3963963963963,,,,
Atkinson town,North,Carolina,18633,13.5531135531135,356,,,
Surf City town,North,Carolina,37098,44.2523768366465,2469,,,
Murphy town,North,Carolina,21126,25.28047868362,1657,,,
Dillsboro town,North,Carolina,27280,57.8947368421052,248,,,
Middlesex town,North,Carolina,18698,15.5749636098981,825,,,
Five Points CDP,North,Carolina,26076,30.3317535545023,,,,
Teachey town,North,Carolina,22133,16.71388101983,423,,,
Castalia town,North,Carolina,19348,14.1843971631205,270,,,
Saxapahaw CDP,North,Carolina,24313,22.4558452481076,,,,
McFarlan town,North,Carolina,28103,18.6813186813186,108,,,
Inkster city,North,Dakota,35635,30.4347826086956,47,,,
Manvel city,North,Dakota,33873,20.7729468599033,369,,,
Niagara city,North,Dakota,27141,18.9189189189189,51,,,
Egeland city,North,Dakota,26010,5.26315789473684,27,,,
Hettinger city,North,Dakota,33964,17.6178660049627,1155,,,
New Town city,North,Dakota,25303,19.3637621023513,2592,,,
Hoople city,North,Dakota,27827,27.3631840796019,227,,,
Prairie Rose city,North,Dakota,51583,36.8421052631578,49,,,
Sharon city,North,Dakota,44402,40.8163265306122,90,,,
Bismarck city,North,Dakota,37487,35.7225641435536,73529,,,
McVille city,North,Dakota,29605,15.916955017301,322,,,
Conway city,North,Dakota,22409,0,21,,,
Clifford city,North,Dakota,39233,6.97674418604651,43,,,
Casselton city,North,Dakota,35483,34.284084426697,2475,,,
Riverdale city,North,Dakota,36717,27.5675675675675,223,,,
Hampden city,North,Dakota,23658,3.84615384615384,45,,,
Sawyer city,North,Dakota,34222,23.5555555555555,326,,,
Cando city,North,Dakota,37807,17.5891758917589,1057,,,
Wyndmere city,North,Dakota,35045,17.5895765472312,406,,,
Medora city,North,Dakota,35022,38.4,129,,,
LaMoure city,North,Dakota,31051,20.1960784313725,883,,,
Flasher city,North,Dakota,31433,27.6243093922651,205,,,
Hebron city,North,Dakota,32324,20.886075949367,675,,,
Ross city,North,Dakota,16598,0,113,,,
Crystal city,North,Dakota,23520,9.09090909090909,128,,,
Glenburn city,North,Dakota,26707,19.8581560283687,430,,,
St. Thomas city,North,Dakota,28262,13.5135135135135,311,,,
Walhalla city,North,Dakota,28937,20.7182320441988,907,,,
Newburg city,North,Dakota,39731,14.2857142857142,108,,,
Sherwood city,North,Dakota,39133,25.9541984732824,226,,,
Wolford city,North,Dakota,20617,0,32,,,
Loma city,North,Dakota,42313,18.75,15,,,
Nekoma city,North,Dakota,28529,32,49,,,
Ambrose city,North,Dakota,30683,33.3333333333333,24,,,
Karlsruhe city,North,Dakota,29837,2.12765957446808,86,,,
Upham city,North,Dakota,27973,15.6716417910447,138,,,
Bucyrus city,North,Dakota,23689,10.5263157894736,26,,,
Crosby city,North,Dakota,39160,17.4377224199288,1285,,,
Almont city,North,Dakota,37701,0,119,,,
New Salem city,North,Dakota,31911,20.5305651672433,989,,,
Parshall city,North,Dakota,23504,24.1653418124006,1288,,,
Plaza city,North,Dakota,34521,24.0875912408759,207,,,
Bathgate city,North,Dakota,42680,52.6315789473684,58,,,
Langdon city,North,Dakota,45971,17.9569034317637,1752,,,
Turtle Lake city,North,Dakota,25197,26.3285024154589,554,,,
Forbes city,North,Dakota,31595,0,44,,,
Gladstone city,North,Dakota,23085,10.6741573033707,348,,,
Mapleton city,North,Dakota,33472,26.8465909090909,1238,,,
New Philadelphia city,Ohio,25462,18.2330195023537,17410,,,,
Calcutta CDP,Ohio,28496,14.5518453427065,,,,,
La Croft CDP,Ohio,22042,10.2536997885835,,,,,
Rogers village,Ohio,17730,6.07734806629834,224,,,,
Marble Cliff village,Ohio,76433,70.8433734939759,732,,,,
Lucasville CDP,Ohio,23082,29.7852474323062,,,,,
Rosemount CDP,Ohio,23864,10.2310231023102,,,,,
Carey village,Ohio,24441,12.2403888643393,3554,,,,
Springboro city,Ohio,43270,53.7950332284015,18931,,,,
Four Bears Village CDP,North,Dakota,24350,18.1208053691275,,,,
Velva city,North,Dakota,28214,22.1320973348783,1190,,,
Cannon Ball CDP,North,Dakota,11241,19.5402298850574,,,,
Litchville city,North,Dakota,27553,14.9253731343283,150,,,
Nome city,North,Dakota,31389,3.84615384615384,56,,,
Rogers city,North,Dakota,32588,5.55555555555555,41,,,
Christine city,North,Dakota,29468,29.8611111111111,170,,,
Fairmount city,North,Dakota,26142,16.3716814159292,359,,,
Mantador city,North,Dakota,31175,5.26315789473684,65,,,
Pingree city,North,Dakota,26520,25.7142857142857,61,,,
Spiritwood Lake city,North,Dakota,43914,29.3478260869565,98,,,
Halliday city,North,Dakota,37658,22.2222222222222,204,,,
Dickey city,North,Dakota,19412,14.2857142857142,39,,,
Palermo city,North,Dakota,27197,12,98,,,
Drake city,North,Dakota,27713,18.2608695652173,268,,,
Dazey city,North,Dakota,18356,11.1111111111111,93,,,
New Leipzig city,North,Dakota,28711,19.047619047619,206,,,
Ray city,North,Dakota,42831,18.7150837988826,901,,,
Williston city,North,Dakota,43515,25.2497096399535,29033,,,
Churchs Ferry city,North,Dakota,,0,12,,,
Edmore city,North,Dakota,21676,11.9205298013245,176,,,
Hamilton city,North,Dakota,26340,0,56,,,
Horace city,North,Dakota,54219,47.4585950885208,2944,,,
Grano city,North,Dakota,,50,6,,,
Springbrook city,North,Dakota,89193,23.076923076923,40,,,
Brocket city,North,Dakota,41622,11.1111111111111,54,,,
Edinburg city,North,Dakota,40608,26.5306122448979,181,,,
Davenport city,North,Dakota,30978,18.1372549019607,272,,,
Pekin city,North,Dakota,22366,33.3333333333333,65,,,
Beulah city,North,Dakota,42508,23.7739374124241,3139,,,
Minot AFB CDP,North,Dakota,23238,38.2428940568475,,,,
Fort Ransom city,North,Dakota,32883,20.2247191011235,75,,,
Jamestown city,North,Dakota,28980,23.0400153536128,15084,,,
Dodge city,North,Dakota,21362,4.28571428571428,99,,,
Lansford city,North,Dakota,33899,15.2941176470588,240,,,
Gackle city,North,Dakota,31120,19.9074074074074,273,,,
New Rockford city,North,Dakota,30946,25,1339,,,
Pillsbury city,North,Dakota,19300,6.66666666666666,12,,,
Solen city,North,Dakota,15236,12.9032258064516,86,,,
Wimbledon city,North,Dakota,51775,22.463768115942,191,,,
Fortuna city,North,Dakota,42317,31.25,21,,,
Bowman city,North,Dakota,31637,26.2068965517241,1599,,,
Noonan city,North,Dakota,33798,6.95652173913043,124,,,
Bratenahl village,Ohio,100287,66.1812297734627,1159,,,,
Broadview Heights city,Ohio,48585,46.2288735016007,19102,,,,
Cleveland city,Ohio,21223,17.5010954039157,381009,,,,
Glenwillow village,Ohio,33416,43.6562073669849,919,,,,
Worthington city,Ohio,52884,68.7910390112012,14692,,,,
South Canal CDP,Ohio,35965,18.4538653366583,,,,,
Day Heights CDP,Ohio,31472,26.1546445251686,,,,,
Neville village,Ohio,31769,34.6153846153846,106,,,,
Withamsville CDP,Ohio,24848,25.5583126550868,,,,,
Apple Creek village,Ohio,24104,13.7535816618911,1180,,,,
Lyons village,Ohio,26032,10.5421686746987,548,,,,
Metamora village,Ohio,28597,19.5852534562212,608,,,,
Middlefield village,Ohio,26089,19.3064182194616,2700,,,,
Tiro village,Ohio,32678,6.81818181818181,262,,,,
Dexter City village,Ohio,32946,0,122,,,,
Glenford village,Ohio,24369,8.26446280991735,169,,,,
Rendville village,Ohio,14680,0,36,,,,
Piqua city,Ohio,23215,13.9276158287565,21332,,,,
Dayton city,Ohio,19872,18.441737635576,140407,,,,
Aberdeen village,Ohio,23814,9.93431855500821,1604,,,,
College Corner village,Ohio,19187,9.90990990990991,417,,,,
Wellston city,Ohio,23006,12.5617912183774,5507,,,,
Granville South CDP,Ohio,42791,62.8458498023715,,,,,
Hills and Dales village,Ohio,96240,73.0290456431535,221,,,,
Uniontown CDP,Ohio,35151,31.6674038036267,,,,,
Baltimore village,Ohio,22691,14.8677248677248,3004,,,,
Columbus city,Ohio,29322,36.5594474541972,898553,,,,
Fairfield Beach CDP,Ohio,32806,8.45410628019323,,,,,
Fort Loramie village,Ohio,33977,27.9324055666003,1523,,,,
McComb village,Ohio,27382,13.8359569179784,1638,,,,
Flushing village,Ohio,25528,10.2713178294573,832,,,,
Albany village,Ohio,23724,22.6289517470881,891,,,,
Elida village,Ohio,28961,23.6038719285182,1803,,,,
Fletcher village,Ohio,30787,5.6910569105691,483,,,,
Franklin Furnace CDP,Ohio,19638,14.4691780821917,,,,,
Ludlow Falls village,Ohio,21577,7.21649484536082,216,,,,
Troy city,Ohio,29692,25.3014123320702,26281,,,,
West Milton village,Ohio,22925,13.8817480719794,4828,,,,
Sciotodale CDP,Ohio,24056,11.4369501466275,,,,,
Clyde city,Ohio,25749,9.39947780678851,6166,,,,
Gibsonburg village,Ohio,23504,11.0231425091352,2496,,,,
Bowling Green city,Ohio,22305,43.7143714371437,31504,,,,
Bradner village,Ohio,21816,4.43131462333825,1018,,,,
Custar village,Ohio,26187,3.31125827814569,184,,,,
Hoytville village,Ohio,20201,17.1296296296296,317,,,,
Luckey village,Ohio,32330,24.6636771300448,1044,,,,
Pemberville village,Ohio,32983,27.05078125,1420,,,,
Sycamore village,Ohio,24231,19.8214285714285,814,,,,
Tipp City city,Ohio,41631,35.5689309257666,10115,,,,
Portsmouth city,Ohio,22068,15.9984956750658,20158,,,,
Rarden village,Ohio,20159,3.26797385620915,147,,,,
Montezuma village,Ohio,26802,10.1123595505617,157,,,,
Ballville CDP,Ohio,31519,26.2488218661639,,,,,
Haskins village,Ohio,32835,34.0720221606648,1237,,,,
Montpelier village,Ohio,28814,12.1478229052323,3924,,,,
Chesterhill village,Ohio,17942,8.48214285714285,275,,,,
Stockport village,Ohio,17422,7.47126436781609,483,,,,
Blakeslee village,Ohio,21906,17.7419354838709,91,,,,
Caledonia village,Ohio,22455,10.4166666666666,557,,,,
Enon village,Ohio,34721,31.8303811057434,2386,,,,
Bridgeport village,Ohio,21726,9.29668552950687,1728,,,,
Brookside village,Ohio,27589,20.5673758865248,575,,,,
Minerva Park village,Ohio,38481,48.6976217440543,1321,,,,
Kettering city,Ohio,34883,35.4473905402307,54855,,,,
Lake Darby CDP,Ohio,32947,34.1549295774647,,,,,
Lockbourne village,Ohio,20357,8.02919708029197,249,,,,
Valleyview village,Ohio,26936,15.9904534606205,638,,,,
Rutland village,Ohio,16494,12.0234604105571,378,,,,
Syracuse village,Ohio,29695,21.1290322580645,816,,,,
Frankfort village,Ohio,19413,14.8188803512623,1048,,,,
Kingston village,Ohio,24386,11.1366245694603,1017,,,,
Fultonham village,Ohio,18923,8.7378640776699,161,,,,
Sardinia village,Ohio,15052,6.63390663390663,1136,,,,
North Zanesville CDP,Ohio,42628,29.3156281920326,,,,,
Zanesville city,Ohio,19073,12.1144845793831,25158,,,,
Cortland city,Ohio,33445,35.2736414619996,6768,,,,
Hilltop CDP,Ohio,19250,8.83882149046793,,,,,
Hubbard city,Ohio,30614,24.1929698708751,7419,,,,
Girard city,Ohio,26850,20.3344281875186,9227,,,,
Howland Center CDP,Ohio,39213,28.7053571428571,,,,,
West Farmington village,Ohio,17768,9.01639344262295,484,,,,
West Hill CDP,Ohio,18535,10.4596935376415,,,,,
Youngstown city,Ohio,18623,13.612087460629,65469,,,,
St. Paris village,Ohio,22907,17.1227521501172,2010,,,,
Woodstock village,Ohio,21824,10.062893081761,291,,,,
Archbold village,Ohio,29534,20.0612036722203,4319,,,,
Fayette village,Ohio,21989,15.6398104265402,1241,,,,
Adena village,Ohio,18639,7.67543859649122,704,,,,
Monroeville village,Ohio,27181,9.56521739130434,1350,,,,
Willard city,Ohio,21340,11.9208615076383,6016,,,,
Roaming Shores village,Ohio,37066,33.1735378715244,1452,,,,
Hollansburg village,Ohio,23144,14.1935483870967,216,,,,
North Star village,Ohio,27329,28.5714285714285,221,,,,
Palestine village,Ohio,22835,7.33333333333333,184,,,,
Wayne Lakes village,Ohio,26007,18.0790960451977,682,,,,
Celina city,Ohio,25987,18.3709606020363,10425,,,,
Rockford village,Ohio,27682,20.1117318435754,1104,,,,
Bloomdale village,Ohio,24356,19.3181818181818,683,,,,
Fostoria city,Ohio,23604,10,13225,,,,
Millbury village,Ohio,24347,14.4628099173553,1247,,,,
Milton Center village,Ohio,25943,14.1592920353982,146,,,,
Dunkirk village,Ohio,19751,6.52173913043478,840,,,,
Mount Vernon city,Ohio,22881,22.470879574429,16769,,,,
Otway village,Ohio,34138,6.89655172413793,82,,,,
Wheelersburg CDP,Ohio,31116,24.5875343721356,,,,,
Sperry town,Oklahoma,20179,11.8881118881118,1338,,,,
Mill Creek town,Oklahoma,18837,17.2774869109947,319,,,,
Mooreland town,Oklahoma,23243,25.3026634382566,1169,,,,
Amber town,Oklahoma,18716,9.81132075471698,480,,,,
South Lebanon village,Ohio,51150,46.9891095451633,4668,,,,
Holdenville city,Oklahoma,15427,8.45796802475503,5501,,,,
Dotyville CDP,Oklahoma,35441,33.3333333333333,,,,,
Stratford town,Oklahoma,18200,15.035799522673,1525,,,,
Hunter town,Oklahoma,24770,8.02919708029197,167,,,,
Cowlington town,Oklahoma,14453,7.69230769230769,152,,,,
Redbird town,Oklahoma,16838,3.63636363636363,154,,,,
Tipton town,Oklahoma,19747,18.7866927592954,759,,,,
Madill city,Oklahoma,20326,12.5968202201386,4031,,,,
Paden town,Oklahoma,21160,16.3522012578616,456,,,,
Taft town,Oklahoma,20414,11.504424778761,238,,,,
Calera town,Oklahoma,20644,15.5790711346266,2370,,,,
Adair town,Oklahoma,20856,15.2866242038216,811,,,,
Foss town,Oklahoma,25260,9.91735537190082,145,,,,
Kendrick town,Oklahoma,23007,9.375,142,,,,
Harrah city,Oklahoma,27787,20.3062426383981,6499,,,,
Peavine CDP,Oklahoma,20080,12.5954198473282,,,,,
Chandler city,Oklahoma,21316,17.7690029615004,3085,,,,
Mangum city,Oklahoma,17761,12.4593716143011,2698,,,,
Stilwell city,Oklahoma,13653,13.1624674196351,4060,,,,
Olney city,Texas,23407,23.8846327174402,3099,,,,
Lozano CDP,Texas,,0,,,,,
Primera town,Texas,16940,19.553706505295,5130,,,,
Rancho Viejo town,Texas,39063,56.1546286876907,2460,,,,
Villa Pancho CDP,Texas,10401,9.66057441253263,,,,,
Liberty city,Texas,28004,16.6309778729478,9314,,,,
Plum Grove city,Texas,25360,1.73410404624277,726,,,,
Gunter city,Texas,31138,28.9411764705882,1675,,,,
Big Sandy town,Texas,20084,15.5412647374062,1412,,,,
Nevada city,Texas,35543,30.0787401574803,1257,,,,
Princeton city,Texas,28195,25.2221051046529,13894,,,,
Nacogdoches city,Texas,21671,29.9234000494193,32877,,,,
Lakeshore Gardens-Hidden Acres CDP,Texas,22392,6.55105973025048,,,,,
St. Paul CDP,Texas,19437,6.6066066066066,,,,,
Sterling City city,Texas,27838,8.49858356940509,998,,,,
Willow Park city,Texas,41403,43.008356545961,5842,,,,
Tierra Verde CDP,Texas,13327,6.97674418604651,,,,,
Tilden CDP,Texas,18538,38.6206896551724,,,,,
Tivoli CDP,Texas,21308,21.9143576826196,,,,,
Travis Ranch CDP,Texas,35903,31.3566206336311,,,,,
Sarita CDP,Texas,13880,0,,,,,
Valle Hermoso CDP,Texas,-666666666,,,,,,
Valle Verde CDP,Texas,-666666666,,,,,,
Valle Vista CDP,Texas,16061,6.37813211845102,,,,,
Victoria Vera CDP,Texas,,0,,,,,
Villarreal CDP,Texas,19857,0,,,,,
Warren CDP,Texas,20579,14.2857142857142,,,,,
Welch CDP,Texas,18059,13.3858267716535,,,,,
West Alto Bonito CDP,Texas,11655,0,,,,,
Western Lake CDP,Texas,21915,6.68523676880222,,,,,
Westminster CDP,Texas,23180,11.0924369747899,,,,,
Westwood Shores CDP,Texas,35573,22.1780604133545,,,,,
Wildwood CDP,Texas,24085,9.75609756097561,,,,,
Zarate CDP,Texas,-666666666,,,,,,
