City,State,Median Income,Percent with Bachelors or Higher,Population,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Westland city,Michigan,28634,22.0936592035549,81511,,,,
Lake City city,Michigan,21931,20.4545454545454,837,,,,
Marion village,Michigan,16838,13.7763371150729,856,,,,
Caspian city,Michigan,29160,8.46560846560846,845,,,,
Weidman CDP,Michigan,28496,8.50722311396468,,,,,
Potterville city,Michigan,24643,19.274924471299,2752,,,,
Sunfield village,Michigan,23609,8.3076923076923,589,,,,
Ferndale city,Michigan,44266,48.2724822347463,20033,,,,
Hazel Park city,Michigan,21792,14.9738578897745,16347,,,,
Lincoln Park city,Michigan,23031,9.38592522518817,36321,,,,
Farmington city,Michigan,42561,55.285479174579,10491,,,,
Lost Lake Woods CDP,Michigan,37589,34.228187919463,,,,,
Brighton city,Michigan,40123,37.2542255950327,7656,,,,
Galien village,Michigan,28234,11.9047619047619,529,,,,
Lake Michigan Beach CDP,Michigan,35695,28.4571428571428,,,,,
Elsie village,Michigan,25937,9.85714285714285,978,,,,
Clifford village,Michigan,20470,1.5228426395939,319,,,,
Norway city,Michigan,28601,27.0086246028143,2748,,,,
Columbiaville village,Michigan,20497,11.1304347826086,763,,,,
Turner village,Michigan,13208,6.54205607476635,102,,,,
Ovid city,Michigan,21566,9.17030567685589,1613,,,,
Newaygo city,Michigan,25553,14.8484848484848,2067,,,,
Byron Center CDP,Michigan,37670,39.8729870718983,,,,,
Forest Hills CDP,Michigan,61780,67.8880110292168,,,,,
Richmond city,Michigan,27255,18.4309781242142,5849,,,,
St. Clair city,Michigan,38542,28.7496750714842,5279,,,,
Powers village,Michigan,23815,9.28961748633879,405,,,,
Center Line city,Michigan,23460,14.055944055944,8171,,,,
Romeo village,Michigan,32304,30.8727147292169,3606,,,,
Robin Glen-Indiantown CDP,Michigan,19009,4.80167014613778,,,,,
Au Gres city,Michigan,21268,11.8827160493827,829,,,,
Omer city,Michigan,19143,4.27807486631016,289,,,,
Beaverton city,Michigan,20833,9.38586326767091,1179,,,,
Breckenridge village,Michigan,22404,16.4449818621523,1273,,,,
Frankfort city,Michigan,30211,35.2380952380952,1290,,,,
Ironwood city,Michigan,26278,18.856259659969,4870,,,,
Coleman city,Michigan,18029,13.9614074914869,1203,,,,
Howard City village,Michigan,17906,11.2348178137651,1830,,,,
Chickamaw Beach city,Minnesota,31733,24.7191011235955,111,,,,
Lake Shore city,Minnesota,48234,43.4306569343065,1058,,,,
Longville city,Minnesota,35424,39.8734177215189,150,,,,
Hutchinson city,Minnesota,35834,20.0411946446961,13983,,,,
Ogilvie city,Minnesota,16474,11.3475177304964,374,,,,
St. Clair city,Minnesota,30941,33.9743589743589,824,,,,
Skyline city,Minnesota,52443,60.5633802816901,300,,,,
Carver city,Minnesota,42432,53.7546721032959,5046,,,,
Clear Lake city,Minnesota,39213,25.0681198910081,707,,,,
Kimball city,Minnesota,28869,14.2056074766355,798,,,,
Bricelyn city,Minnesota,23682,14.3540669856459,337,,,,
Corcoran city,Minnesota,57364,38.4893822393822,6250,,,,
Courtland city,Minnesota,38653,27.0871985157699,696,,,,
St. James city,Minnesota,24326,11.7157712305026,4400,,,,
Comfrey city,Minnesota,29377,20.0787401574803,354,,,,
Henning city,Minnesota,25500,14.5973154362416,808,,,,
Norcross city,Minnesota,41846,2.5,70,,,,
Kasson city,Minnesota,33248,27.4253270797333,6493,,,,
Alexandria city,Minnesota,32468,24.6998284734133,13822,,,,
Revere city,Minnesota,22604,3.07692307692307,88,,,,
Dakota city,Minnesota,42288,22.0338983050847,306,,,,
Woodbury city,Minnesota,49424,59.0636281088742,72828,,,,
Lucan city,Minnesota,25377,17.5438596491228,175,,,,
Stewart city,Minnesota,23864,5.76923076923076,539,,,,
Alberta city,Minnesota,29926,18,99,,,,
Ortonville city,Minnesota,25361,11.7977528089887,1782,,,,
Lismore city,Minnesota,28905,12.4137931034482,221,,,,
Taconite city,Minnesota,29312,12.9740518962075,633,,,,
Nicollet city,Minnesota,27995,19.6382428940568,1169,,,,
Arden Hills city,Minnesota,36989,60.314013696342,10281,,,,
Nassau city,Minnesota,32234,3.7037037037037,67,,,,
Randall city,Minnesota,21855,15.7754010695187,624,,,,
Hanover city,Minnesota,40429,41.3108242303872,3507,,,,
Le Roy city,Minnesota,26646,21.2851405622489,932,,,,
Riverton city,Minnesota,17110,13.7254901960784,113,,,,
Roseville city,Minnesota,38662,51.4644680015704,36457,,,,
Rockville city,Minnesota,38947,27.0388615216201,2585,,,,
Newport city,Minnesota,30253,19.6556068878622,3588,,,,
Minneiska city,Minnesota,33193,23.9130434782608,108,,,,
St. Vincent city,Minnesota,38142,2.94117647058823,62,,,,
Rushmore city,Minnesota,23677,13.3333333333333,335,,,,
Hollandale city,Minnesota,27449,17.910447761194,299,,,,
Pine Island city,Minnesota,30883,37.5435540069686,3475,,,,
Lake Elmo city,Minnesota,58744,50.0908640343631,9210,,,,
Warroad city,Minnesota,30221,24.5700245700245,1795,,,,
Wanda city,Minnesota,40669,6.66666666666666,80,,,,
Afton city,Minnesota,63844,56.1075660893345,3028,,,,
Rush City city,Minnesota,20046,8.74001774622892,3218,,,,
Glenwood city,Minnesota,31118,27.3758099352051,2611,,,,
Pease city,Minnesota,20240,13.8157894736842,229,,,,
Falcon Heights city,Minnesota,41156,74.1996233521657,5528,,,,
Richmond city,Minnesota,27787,12.5594671741198,1470,,,,
Dovray city,Minnesota,36435,6.12244897959183,51,,,,
Spring Lake Park city,Minnesota,32167,20.8052276559865,6919,,,,
St. Augusta city,Minnesota,38837,22.3538704581358,3835,,,,
Walters city,Minnesota,21566,5.17241379310344,67,,,,
Alvarado city,Minnesota,29259,17.5572519083969,362,,,,
Grygla city,Minnesota,26831,16.030534351145,211,,,,
Middle River city,Minnesota,25035,12.0418848167539,301,,,,
Bingham Lake city,Minnesota,29856,14.4230769230769,124,,,,
Elgin city,Minnesota,29346,22.6845637583892,1079,,,,
Talladega city,Alabama,18675,14.4593301435406,15457,,,,
Lexington town,Alabama,21688,9.67741935483871,709,,,,
Decatur city,Alabama,27998,24.7390117243963,54445,,,,
Lincoln city,Alabama,29784,17.4373599511102,6781,,,,
Woodland town,Alabama,24996,24.6073298429319,182,,,,
